date,매출건수,매출금액,기온,습도,강수량,풍향,풍속,유동인구,미세먼지,초미세먼지
2020-01-01-1,13.324561403508772,253330.16666666666,-0.5837719298245614,70.82894736842105,0.0,122.75523684210526,1.034213157894737,20892.568377192983,24.5,10.25
2020-01-01-2,8.770897832817337,104341.1919504644,0.4119195046439629,65.78250773993808,0.0,227.99385356037152,0.2343594427244582,17082.275851393188,22.0,9.75
2020-01-01-3,12.788702928870293,198533.0188284519,0.037813807531380784,68.9126569037657,0.0,47.857164435146444,1.1647391213389122,17822.976736401677,30.0,17.5
2020-01-01-4,14.463235294117647,202790.0588235294,-0.15863970588235293,70.03538602941177,0.0,69.79378382352941,1.2754170955882353,19418.150845588236,40.25,21.25
2020-01-01-5,26.741573033707866,456402.54574638844,-0.02195024077046546,66.47953451043338,0.0,60.715674799357934,0.8663714285714287,19732.496308186193,45.5,23.5
2020-01-01-6,13.117505995203837,201223.49160671464,1.352997601918465,63.483213429256594,0.0,79.14033788968825,1.0152841726618707,18145.29376498801,47.5,26.75
2020-01-02-1,6.69172932330827,77758.33082706766,3.8336466165413534,60.221804511278194,0.0,301.9906413533834,1.246606766917293,20669.374135338345,44.25,23.0
2020-01-02-2,12.109859154929577,94375.14084507042,2.69112676056338,64.68169014084508,0.0,290.8453642253521,1.5447791549295775,19056.82895774648,44.5,24.25
2020-01-02-3,19.18923611111111,320396.1388888889,0.5162760416666666,71.22612847222223,0.0,320.85566302083333,0.8033847222222222,25676.329114583335,66.5,31.0
2020-01-02-4,16.10333333333333,287821.07666666666,-0.9582499999999999,80.53583333333333,0.0,292.20584016666663,0.9387773333333332,26726.61555,73.25,34.5
2020-01-02-5,27.8005540166205,501428.8213296399,-2.314404432132964,86.10595567867036,0.0,100.78996980609419,0.8182957063711912,23300.853795013853,73.5,39.5
2020-01-02-6,12.307328605200945,187346.75650118204,-0.6399527186761229,72.38002364066193,0.0,316.9121780141844,1.193312293144208,19848.856052009454,77.5,43.75
2020-01-03-1,7.575949367088608,113802.72151898734,3.4356012658227852,37.24841772151899,0.0,282.10190886075947,2.088346835443038,21726.89506329114,77.0,42.5
2020-01-03-2,12.564971751412429,105947.3813559322,2.23114406779661,42.20974576271186,0.0,298.8495889830508,1.519178813559322,18972.69884180791,77.0,43.75
2020-01-03-3,18.065359477124183,283100.43137254904,-0.25620915032679736,50.17892156862745,0.0,328.8466137254902,0.5804049019607843,24781.22245098039,78.25,34.25
2020-01-03-4,15.314144736842104,295457.75986842107,-1.054029605263158,63.254934210526315,0.0,112.22543388157895,0.4080870065789474,26198.660378289478,54.5,24.75
2020-01-03-5,30.033602150537636,537960.4892473118,-0.9020161290322581,66.95362903225806,0.0,79.8281129032258,1.2663975806451613,24133.31245967742,56.5,26.0
2020-01-03-6,14.380952380952381,252879.7204968944,1.549120082815735,59.285714285714285,0.0,44.09118985507246,0.5883788819875777,20760.146935817807,56.25,31.5
2020-01-04-1,8.540816326530612,138118.3112244898,5.855357142857144,44.03061224489796,0.0,294.12287091836737,2.5995760204081635,21226.303214285716,51.75,27.25
2020-01-04-2,10.342391304347826,91958.57880434782,3.670244565217391,43.06929347826087,0.0,297.7543720108696,1.8403793478260873,17768.535597826085,56.5,30.25
2020-01-04-3,17.07279029462738,317756.2755632582,0.7505199306759099,48.46533795493934,0.0,322.4380771230503,1.2428866551126516,21043.523258232235,71.0,36.5
2020-01-04-4,18.15286624203822,323757.54140127386,-1.1236464968152866,56.39808917197452,0.0,332.17534108280256,0.8425541401273886,23135.909761146497,41.75,20.25
2020-01-04-5,31.099596231493944,631305.2072678331,-2.191049798115747,61.470053835800805,0.0,86.46463001345896,0.6014524899057874,23250.482301480486,47.25,26.5
2020-01-04-6,14.845824411134904,280418.94646680943,0.8104925053533191,56.94646680942184,0.0,110.18989014989293,0.8325895074946467,20689.32912205567,48.25,26.5
2020-01-05-1,8.879227053140097,146971.52173913043,5.426207729468598,34.171497584541065,0.0,176.2621086956522,0.9060038647342995,20775.578743961352,45.25,22.25
2020-01-05-2,9.287974683544304,104395.73101265823,3.9893196202531644,36.94462025316456,0.0,331.67642215189875,0.5653246835443039,17417.03908227848,48.75,25.5
2020-01-05-3,14.459363957597173,224522.49469964663,2.0590989399293287,47.24381625441696,0.0,102.57462402826856,0.7525708480565372,19568.359964664312,60.75,34.0
2020-01-05-4,19.946273830155977,368697.95320623915,2.2247400346620454,46.51819757365685,0.0,79.27457019064124,1.9625733102253033,22417.238821490468,56.0,30.0
2020-01-05-5,28.664688427299705,513206.6958456973,2.699480712166172,44.47032640949555,0.0,77.79195074183976,1.820640356083086,21421.15890207715,57.25,31.0
2020-01-05-6,13.718274111675127,204377.2994923858,3.3695431472081214,47.46573604060914,0.0,72.07003096446701,2.05831269035533,18925.00263959391,45.25,23.0
2020-01-06-1,7.074829931972789,85007.68707482993,3.812074829931973,63.55952380952381,0.0010204081632653062,67.97455170068028,3.139543537414966,21034.777959183673,33.5,17.75
2020-01-06-2,13.472303206997085,93358.54518950437,2.9869533527696794,88.86880466472303,0.014577259475218658,69.28922857142857,3.0206912536443147,19101.90533527697,37.5,18.75
2020-01-06-3,16.531986531986533,207292.11447811447,3.9434343434343435,95.38468013468014,0.10058922558922559,79.13590505050504,2.9440117845117846,26106.305639730643,38.5,19.0
2020-01-06-4,15.074912891986063,233471.34146341463,4.7128484320557495,96.93554006968641,0.5653745644599303,75.77936916376306,3.2002503484320557,28307.96717770035,24.5,14.5
